state,year,district,candidate ID,party code,candidate incumbency,candidate votes won,won election?,total votes,dem votes,rep_votes,other_votes,candidate name
AK,2012,1,"GOLUB, JANICE L.",100,0,1525,0,7010,1525,5428,57,"GOLUB, JANICE L."
AK,2012,1,"ISAACSON, DOUG",200,0,5428,1,7010,1525,5428,57,"ISAACSON, DOUG"
AK,2012,1,SCATTERING,600,0,57,0,7010,1525,5428,57,SCATTERING
AK,2012,2,"MILLER, BOB",100,1,4012,0,8465,4012,4420,33,"MILLER, BOB"
AK,2012,2,SCATTERING,600,0,33,0,8465,4012,4420,33,SCATTERING
AK,2012,2,"WILSON, TAMMIE",200,1,4420,1,8465,4012,4420,33,"WILSON, TAMMIE"
AK,2012,3,SCATTERING,600,0,166,0,4472,0,4306,166,SCATTERING
AK,2012,3,"THOMPSON, STEVE M.",200,1,4306,1,4472,0,4306,166,"THOMPSON, STEVE M."
AK,2012,4,"KAWASAKI, SCOTT",100,1,3160,1,6176,3160,2992,24,"KAWASAKI, SCOTT"
AK,2012,4,"PRUHS, DAVID",200,0,2992,0,6176,3160,2992,24,"PRUHS, DAVID"
AK,2012,4,SCATTERING,600,0,24,0,6176,3160,2992,24,SCATTERING
AK,2012,5,"HIGGINS, PETE",200,0,3950,1,7392,3410,3950,32,"HIGGINS, PETE"
AK,2012,5,SCATTERING,600,0,32,0,7392,3410,3950,32,SCATTERING
AK,2012,5,"WATTS, DAVID",100,0,3410,0,7392,3410,3950,32,"WATTS, DAVID"
AK,2012,6,"DUHAMEL, JAMEY E.",100,0,1878,0,6798,1878,4879,41,"DUHAMEL, JAMEY E."
AK,2012,6,"FEIGE, ERIC A.",200,1,4879,1,6798,1878,4879,41,"FEIGE, ERIC A."
AK,2012,6,SCATTERING,600,0,41,0,6798,1878,4879,41,SCATTERING
AK,2012,7,"KELLER, WES",200,1,5517,1,5782,0,5517,265,"KELLER, WES"
AK,2012,7,SCATTERING,600,0,265,0,5782,0,5517,265,SCATTERING
AK,2012,8,"HUGHES, SHELLEY",200,0,6183,1,6465,0,6183,282,"HUGHES, SHELLEY"
AK,2012,8,SCATTERING,600,0,282,0,6465,0,6183,282,SCATTERING
AK,2012,9,"GATTIS, LYNN",200,0,4759,1,6552,1767,4759,26,"GATTIS, LYNN"
AK,2012,9,"MERRIFIELD, BLAKE A.",100,0,1767,0,6552,1767,4759,26,"MERRIFIELD, BLAKE A."
AK,2012,9,SCATTERING,600,0,26,0,6552,1767,4759,26,SCATTERING
AK,2012,10,"NEUMAN, MARK A.",200,1,4755,1,5947,1179,4755,13,"NEUMAN, MARK A."
AK,2012,10,"RAHN, PAM",100,0,1179,0,5947,1179,4755,13,"RAHN, PAM"
AK,2012,10,SCATTERING,600,0,13,0,5947,1179,4755,13,SCATTERING
AK,2012,11,SCATTERING,600,0,260,0,7014,0,6754,260,SCATTERING
AK,2012,11,"STOLTZE, BILL",200,1,6754,1,7014,0,6754,260,"STOLTZE, BILL"
AK,2012,12,"SADDLER, DAN",200,1,4663,1,4829,0,4663,166,"SADDLER, DAN"
AK,2012,12,SCATTERING,600,0,166,0,4829,0,4663,166,SCATTERING
AK,2012,13,"LEDOUX, GABRIELLE",200,0,3278,1,4870,1480,3278,112,"LEDOUX, GABRIELLE"
AK,2012,13,"ROLLISON, KAY L.",100,0,1480,0,4870,1480,3278,112,"ROLLISON, KAY L."
AK,2012,13,SCATTERING,600,0,112,0,4870,1480,3278,112,SCATTERING
AK,2012,14,"GRUENBERG, MAX F. JR.",100,1,3391,1,6297,3391,2883,23,"GRUENBERG, MAX F. JR."
AK,2012,14,"HADLEY, DON",200,0,2883,0,6297,3391,2883,23,"HADLEY, DON"
AK,2012,14,SCATTERING,600,0,23,0,6297,3391,2883,23,SCATTERING
AK,2012,15,"JOSEPHSON, ANDREW L.",100,0,3142,1,5443,3142,2276,25,"JOSEPHSON, ANDREW L."
AK,2012,15,SCATTERING,600,0,25,0,5443,3142,2276,25,SCATTERING
AK,2012,15,"TRAINI, DICK",200,0,2276,0,5443,3142,2276,25,"TRAINI, DICK"
AK,2012,16,"CRAWFORD, JIMMY",200,0,2278,0,6083,3434,2278,371,"CRAWFORD, JIMMY"
AK,2012,16,"DRUMMOND, HARRIET A.",100,0,3434,1,6083,3434,2278,371,"DRUMMOND, HARRIET A."
AK,2012,16,"ISLEY, PHIL",400,0,343,0,6083,3434,2278,371,"ISLEY, PHIL"
AK,2012,16,SCATTERING,600,0,28,0,6083,3434,2278,371,SCATTERING
AK,2012,17,SCATTERING,600,0,22,0,4006,2416,1568,22,SCATTERING
AK,2012,17,"STEVENS, CEAN",200,0,1568,0,4006,2416,1568,22,"STEVENS, CEAN"
