2011,NJ,District 1,Democratic Party, Jeff Van Drew,24557,True
2011,NJ,District 1,Republican Party, David DeWeese,20857,False
2011,NJ,District 2,Democratic Party, Jim Whelan,24075,True
2011,NJ,District 2,Republican Party, Vincent Polistina,20997,False
2011,NJ,District 3,Democratic Party, Stephen Sweeney,25299,True
2011,NJ,District 3,Republican Party, Michael Mulligan,20197,False
2011,NJ,District 4,Democratic Party, Fred Madden,23868,True
2011,NJ,District 4,Republican Party, Giancarlo D'Orazio,14569,False
2011,NJ,District 5,Democratic Party, Donald Norcross,17712,True
2011,NJ,District 5,Republican Party, Keith Walker,13444,False
2011,NJ,District 6,Democratic Party, James Beach,25297,True
2011,NJ,District 6,Republican Party, Phil Mitsch,15415,False
2011,NJ,District 7,Democratic Party, Gail Cook,20370,False
2011,NJ,District 7,Republican Party, Diane Allen,27011,True
2011,NJ,District 8,Democratic Party, Carl Lewis,,False
2011,NJ,District 8,Republican Party, Dawn Addiego,22396,True
2011,NJ,District 9,Democratic Party, Dorothy Ryan,17320,False
2011,NJ,District 9,Republican Party, Christopher Connors,32027,True
2011,NJ,District 10,Democratic Party, Charles Tivenan,16105,False
2011,NJ,District 10,Republican Party, James Holzapfel,28675,True
2011,NJ,District 11,Democratic Party, Raymond Santiago,15487,False
2011,NJ,District 11,Republican Party, Jennifer Beck,20226,True
2011,NJ,District 12,Democratic Party, Robert Brown,15125,False
2011,NJ,District 12,Republican Party, Samuel Thompson,22578,True
2011,NJ,District 13,Democratic Party, Christopher Cullen,14785,False
2011,NJ,District 13,Republican Party, Joseph Kyrillos,24121,True
2011,NJ,District 13,unaffiliated, Mac Dara Lyden,260,False
2011,NJ,District 13,unaffiliated, Karen Anne Zaletel,519,False
2011,NJ,District 13,Constitution Party, Stephen Boracchia,556,False
2011,NJ,District 14,Democratic Party, Linda Greenstein,26206,True
2011,NJ,District 14,Republican Party, Richard Kanka,21176,False
2011,NJ,District 15,Democratic Party, Shirley Turner,21512,True
2011,NJ,District 15,Republican Party, Donald Cox,10900,False
2011,NJ,District 16,Democratic Party, Maureen Vella,17460,False
2011,NJ,District 16,Republican Party, Christopher Bateman,21040,True
2011,NJ,District 17,Democratic Party, Bob Smith,15507,True
2011,NJ,District 17,Republican Party, Jordan Rickards,8715,False
2011,NJ,District 18,Democratic Party, Barbara Buono,19631,True
2011,NJ,District 18,Republican Party, Gloria Dittman,13042,False
2011,NJ,District 19,Democratic Party, Joseph Vitale,18623,True
2011,NJ,District 19,Republican Party, Paul Lund,9232,False
2011,NJ,District 20,Democratic Party, Raymond Lesniak,12510,True
2011,NJ,District 20,Republican Party, Helen Rosales,4052,False
2011,NJ,District 21,Democratic Party, Paul Swanicke,13351,False
2011,NJ,District 21,Republican Party, Thomas Kean,27750,True
2011,NJ,District 22,Democratic Party, Nicholas Scutari,16104,True
2011,NJ,District 22,Republican Party, Michael Class,10024,False
2011,NJ,District 23,Democratic Party, John Graf,12579,False
2011,NJ,District 23,Republican Party, Michael Doherty,21596,True
2011,NJ,District 23,unaffiliated, Daniel Seyler,1040,False
2011,NJ,District 24,Democratic Party, Edwin Selby,10837,False
2011,NJ,District 24,Republican Party, Steven Oroho,21044,True
2011,NJ,District 25,Democratic Party, Rick Thoeni,12298,False
2011,NJ,District 25,Republican Party, Anthony Bucco,19228,True
2011,NJ,District 26,Democratic Party, Wasim Khan,10317,False
